#Minuto Promedio Desviacion
706 0.1 0.3
707 0.1 0.3
708 0.1 0.3
709 0.1 0.3
710 0.1 0.3
711 0.1 0.3
712 0.1 0.3
713 0.1 0.3
714 0.1 0.3
715 0.2 0.6
716 0.2 0.6
717 0.2 0.6
718 0.2 0.6
719 0.2 0.6
720 0.2 0.6
721 0.2 0.6
722 0.2 0.6
723 0.2 0.6
724 0.2 0.6
725 0.2 0.6
726 0.2 0.6
727 0.2 0.6
728 0.2 0.6
729 0.2 0.6
730 0.2 0.6
731 0.2 0.6
732 0.2 0.6
733 0.2 0.6
734 0.2 0.6
735 0.2 0.6
736 0.2 0.6
737 0.1 0.3
738 0.1 0.3
739 0.1 0.3
740 0.1 0.3
741 0.1 0.3
742 0.1 0.3
743 0.1 0.3
744 0.1 0.3
745 0.1 0.3
746 0.1 0.3
747 0.1 0.3
748 0.1 0.3
749 0.1 0.3
750 0.1 0.3
751 0.1 0.3
752 0.1 0.3
753 0.1 0.3
754 0.1 0.3
755 0.1 0.3
756 0.1 0.3
757 0.1 0.3
758 0.1 0.3
759 0.1 0.3
760 0.1 0.3
761 0.1 0.3
762 0.1 0.3
763 0.1 0.3
764 0.1 0.3
765 0.2 0.4
766 0.2 0.4
767 0.2 0.4
768 0.2 0.4
769 0.2 0.4
770 0.2 0.4
771 0.2 0.4
772 0.2 0.4
773 0.2 0.4
774 0.2 0.4
775 0.2 0.4
776 0.2 0.4
777 0.1 0.3
778 0.1 0.3
779 0.1 0.3
780 0.1 0.3
781 0.1 0.3
782 0.1 0.3
783 0.1 0.3
784 0.1 0.3
785 0.1 0.3
786 0.1 0.3
787 0.1 0.3
788 0.1 0.3
789 0.1 0.3
790 0.1 0.3
791 0.1 0.3
792 0.1 0.3
793 0.1 0.3
794 0.1 0.3
795 0.1 0.3
796 0 0
797 0 0
798 0 0
799 0 0
800 0 0
801 0 0
802 0 0
803 0 0
804 0 0
805 0.1 0.3
806 0.1 0.3
807 0.1 0.3
808 0.1 0.3
809 0.1 0.3
810 0.1 0.3
811 0.1 0.3
812 0.1 0.3
813 0.1 0.3
814 0.1 0.3
815 0.2 0.4
816 0.2 0.4
817 0.2 0.4
818 0.2 0.4
819 0.2 0.4
820 0.1 0.3
821 0.1 0.3
822 0.1 0.3
823 0.2 0.4
824 0.1 0.3
825 0.1 0.3
826 0.2 0.4
827 0.2 0.4
828 0.2 0.4
829 0.1 0.3
830 0.1 0.3
831 0.1 0.3
832 0.1 0.3
833 0.1 0.3
834 0.2 0.4
835 0.2 0.4
836 0.2 0.4
837 0.3 0.458258
838 0.4 0.663325
839 0.4 0.663325
840 0.4 0.663325
841 0.4 0.663325
842 0.4 0.663325
843 0.4 0.663325
844 0.4 0.663325
845 0.4 0.663325
846 0.4 0.663325
847 0.4 0.663325
848 0.4 0.663325
849 0.6 0.916515
850 0.6 0.916515
851 0.7 1.00499
852 0.7 1.00499
853 0.7 1.00499
854 0.7 1.00499
855 0.7 0.781025
856 0.7 0.781025
857 0.6 0.663325
858 0.6 0.663325
859 0.6 0.663325
860 0.6 0.663325
861 0.7 0.781025
862 0.7 0.781025
863 0.6 0.8
864 0.6 0.8
865 0.5 0.67082
866 0.5 0.67082
867 0.5 0.67082
868 0.5 0.67082
869 0.5 0.67082
870 0.5 0.67082
871 0.4 0.663325
872 0.4 0.663325
873 0.5 0.806226
874 0.5 0.806226
875 0.5 0.806226
876 0.5 0.806226
877 0.4 0.663325
878 0.5 0.67082
879 0.5 0.67082
880 0.5 0.67082
881 0.5 0.67082
882 0.5 0.67082
883 0.5 0.67082
884 0.5 0.806226
885 0.5 0.806226
886 0.5 0.806226
887 0.5 0.806226
888 0.5 0.806226
889 0.5 0.806226
